item_id,item_price,product_type,department_name
J5715,5411,E822,Baby
J9251,1065.5,F622,Apps & Games
E7564,1033.5,B236,Apps & Games
C7843,3520,H738,Baby
D5485,1206.5,B0236,Collectibles
J2336,5408,C475,Furniture
D1816,2589,F996,Baby
H1556,1596.5,J061,Garden & Outdoors
C1126,1120,B0351,Baby
G6134,2304,E422,Books
B28784,284.5,H121,Apps & Games
H9049,5856,B0083,Computers & Accessories
F3714,1536,F835,Clothing & Accessories
J7401,1005,C802,Baby
D7678,2286,G661,Apps & Games
E2250,480,H753,Furniture
B24755,2851,J333,Furniture
G2637,1148.5,C568,Baby
J9769,1725,I763,Electronics
B16271,2563,B327,Collectibles
B9694,573,B2,Clothing & Accessories
H5232,508.5,C281,Garden & Outdoors
B22327,540.5,F435,Furniture
B05759,6110.5,B0304,Clothing & Accessories
J5041,508.5,B713,Collectibles
B04375,224.5,J601,Furniture
I7657,1722,I179,Furniture
F9513,23328,I986,Books
H3989,1177.5,J097,Computers & Accessories
E1805,892.5,B732,Clothing & Accessories
H6979,2301,I744,Garden & Outdoors
I0517,835,J225,Garden & Outdoors
J8812,1699,D844,Apps & Games
C3447,907,F897,Collectibles
H1303,1033.5,B0484,Clothing & Accessories
E6503,1177.5,G318,Furniture
B30617,1160.5,F081,Electronics
H4404,1321.5,H099,Apps & Games
J611,1123,H036,Apps & Games
B26662,2499.5,G661,Baby
F0110,4291,B0121,Apps & Games
F1839,1168,I834,Beauty
B7296,2563,E057,Electronics
G0079,319.5,B24,Apps & Games
F6405,10246,H899,Clothing & Accessories
B01807,918.5,H652,Electronics
D4853,1033.5,G723,Clothing & Accessories
H6276,42880,D893,Furniture
G817,2301,C528,Beauty
J758,1510,H881,Beauty
B24313,4995,J333,Apps & Games
B19476,27168,B756,Apps & Games
J197,2013,G044,Apps & Games
B6370,1002,E297,Furniture
D065,1180.5,G498,Computers & Accessories
E1191,993.5,D737,Collectibles
C6233,348.5,F456,Electronics
E6361,1149,C802,Beauty
B0066,412.5,F897,Computers & Accessories
H3519,7648,F637,Clothing & Accessories
B08364,1146,B529,Garden & Outdoors
B20035,921.5,I121,Clothing & Accessories
B6027,1036.5,H078,Garden & Outdoors
G689,1411,C967,Clothing & Accessories
C7854,6992,I274,Collectibles
B24555,3136,D184,Collectibles
F3206,1520.5,B683,Furniture
E5348,2586,B380,Baby
H0269,976,I834,Baby
B05096,1379.5,C31,Clothing & Accessories
B9098,190,J582,Computers & Accessories
D6602,1382,B0271,Apps & Games
F4675,1123,E192,Apps & Games
B4619,1612.5,B073,Apps & Games
E5210,828.5,I577,Furniture
H5794,16992,C740,Electronics
B12538,441.5,D635,Garden & Outdoors
I3727,1065.5,J839,Computers & Accessories
B25489,2937.5,J086,Garden & Outdoors
D1461,313.5,J976,Baby
E5974,502,I607,Books
B22261,1293,E034,Beauty
B10641,1382,C874,Apps & Games
B9495,6710,I826,Clothing & Accessories
D5274,1792,B445,Books
B14459,1116.5,I836,Electronics
B01448,3558,G493,Computers & Accessories
B16196,380.5,G186,Clothing & Accessories
B15184,1581,C874,Garden & Outdoors
G5680,1468.5,D034,Baby
J2520,1280,E144,Books
G3885,1624,F622,Garden & Outdoors
J573,2589,J337,Electronics
B11698,1581,J189,Beauty
D5221,336,G681,Garden & Outdoors
G6990,412.5,C568,Books
D0716,1492,B0304,Garden & Outdoors
H2575,2013,E222,Computers & Accessories
B29681,9763,I994,Books
F9285,1149,F267,Furniture
B14844,915.5,I445,Collectibles
I3394,1324.5,H071,Furniture
J5327,2292.5,C167,Beauty
J2103,896,C719,Computers & Accessories
G8183,269,C111,Electronics
J094,540.5,C159,Furniture
J3605,896,J926,Books
C6388,3715,E646,Computers & Accessories
F9726,2298,F441,Computers & Accessories
B2363,889.5,G032,Beauty
G5029,2211,I768,Apps & Games
J1344,953.5,F34,Collectibles
B24636,4317,B073,Collectibles
D8692,25568,I189,Furniture
E8082,1086,J008,Furniture
B23917,1056,C44,Garden & Outdoors
H7623,4979.5,G325,Collectibles
F1987,1051,E260,Furniture
B2901,1437,I890,Electronics
H0661,31.5,F217,Electronics
H7161,2580,B524,Baby
J0009,5379,B672,Beauty
B06022,1137.5,B0146,Books
D2965,947.5,E628,Books
F5149,1024,C106,Garden & Outdoors
I7445,4547,C537,Electronics
H5313,892.5,E279,Clothing & Accessories
B00824,1005,H203,Garden & Outdoors
B24919,5443,H962,Electronics
B8240,752,E297,Electronics
B05083,1725,B0484,Computers & Accessories
C5602,2145.5,F604,Computers & Accessories
B10266,1609.5,J790,Baby
G4539,1725,J432,Collectibles
G3691,2706,F783,Beauty
G9605,1347.5,H22,Computers & Accessories
E896,1321.5,I417,Computers & Accessories
G8114,1411,J41,Books
J5148,1699,D844,Baby
D4426,284.5,C839,Books
B04672,3020.5,H203,Clothing & Accessories
B23986,1209.5,B225,Books
E7984,1184,H182,Electronics
H2075,3168,C884,Garden & Outdoors
B376,1531.5,B0356,Collectibles
E9332,1584,F814,Electronics
E7931,1065.5,H103,Collectibles
D6974,636.5,J035,Apps & Games
F2366,2298,I814,Beauty
J156,1123,D134,Beauty
G6077,1149,B884,Baby
E2991,1148.5,B0573,Beauty
B07654,864,F497,Garden & Outdoors
B9331,748.5,H195,Furniture
H2275,1146,F34,Garden & Outdoors
D2907,3136,E757,Garden & Outdoors
B8210,636.5,I834,Clothing & Accessories
I6652,1149,G840,Furniture
B04636,636.5,E746,Computers & Accessories
E3081,1722,H365,Books
E2417,1411,D047,Electronics
H4236,4096,C397,Furniture
E0842,1273.5,I506,Furniture
B22648,1206.5,B049,Books
F97,1005,H753,Baby
E7414,12736,D779,Baby
B09706,1740,J86,Electronics
B32106,1411,G936,Collectibles
E2651,1062.5,D717,Apps & Games
G1726,1310,I577,Apps & Games
J5587,829,H203,Collectibles
D6453,1177.5,F94,Collectibles
D8769,864,C065,Baby
I8203,947.5,J444,Clothing & Accessories
B27696,4579,E338,Computers & Accessories
B05945,1062.5,B0351,Clothing & Accessories
G0203,3680,B0083,Books
I9263,92.5,B446,Computers & Accessories
C154,953.5,G498,Baby
J4345,17568,D184,Garden & Outdoors
J9312,704,C521,Baby
H958,2851,B0484,Electronics
D643,2563,E057,Beauty
C9321,2292,C431,Books
B22389,732.5,B296,Furniture
B01226,633.5,F098,Beauty
D8209,688,B049,Furniture
G7371,2133,G661,Collectibles
I1958,432,E645,Garden & Outdoors
E8806,1699,E434,Books
I5855,1699,B529,Clothing & Accessories
J4971,1434,B0465,Electronics
I6582,2960,C376,Baby
G2965,1987,I700,Beauty
C9484,1725,F774,Garden & Outdoors
J956,889.5,H916,Books
B03456,1852.5,C724,Garden & Outdoors
H9470,700.5,I506,Baby
H2781,1509,H753,Garden & Outdoors
J3256,2563,H671,Computers & Accessories
B07450,924.5,D844,Computers & Accessories
I6908,574,J578,Clothing & Accessories
J6655,1056.5,H562,Collectibles
C1585,924.5,B0405,Electronics
D5731,313.5,G936,Beauty
J170,734,J897,Furniture
E5641,2275,J035,Furniture
B11298,1725,C966,Clothing & Accessories
I2525,1149,H049,Computers & Accessories
I8619,412.5,H652,Clothing & Accessories
E7441,889.5,J550,Apps & Games
B23703,604.5,I606,Electronics
I3852,648,F71,Computers & Accessories
D0803,1094,J156,Computers & Accessories
H4233,1897.5,B359,Furniture
G7067,2013,I541,Apps & Games
H4428,1915,G786,Garden & Outdoors
E9259,1788,F760,Collectibles
B30694,1062.5,G822,Collectibles
E9181,720,F622,Collectibles
E0461,819,C568,Collectibles
I4033,1488,F425,Garden & Outdoors
G086,2563,C56,Beauty
C4733,1987,B529,Furniture
F1277,406,F251,Garden & Outdoors
B0517,2275,G082,Clothing & Accessories
F0322,2301,J658,Garden & Outdoors
B26347,5702,D020,Computers & Accessories
B27576,1149,B62,Garden & Outdoors
E3179,371.5,B236,Baby
E749,532.5,E147,Beauty
G8395,5728,I052,Electronics
I333,31.5,I475,Collectibles
B02483,1532,G661,Garden & Outdoors
H0114,1248,H069,Electronics
H7571,1558,B0098,Collectibles
G116,2013,B0186,Baby
F8054,92.5,C31,Furniture
I9995,4596.5,B0400,Apps & Games
D7756,1175,I570,Furniture
B14278,153.5,J988,Electronics
C2119,3588,C874,Furniture
D5560,2707,H966,Electronics
D5303,1080,C111,Collectibles
C8856,279,E449,Baby
G8817,1203.5,B155,Collectibles
D315,2557,C455,Apps & Games
F4914,604.5,C134,Collectibles
G2522,1275.5,H291,Garden & Outdoors
B23232,1437,F081,Collectibles
I5835,1166,E450,Garden & Outdoors
B19815,49753.5,H261,Collectibles
H8692,3797,F316,Electronics
G9106,1261,D766,Computers & Accessories
B6153,1005,C164,Clothing & Accessories
B8521,889.5,B312,Furniture
B31380,720.5,J533,Books
B3345,1152,B0465,Computers & Accessories
H0010,1350.5,D839,Computers & Accessories
F2971,1916.5,H945,Electronics
F3565,947.5,D295,Beauty
J1266,316.5,D328,Baby
G0905,6140,D009,Furniture
H946,1568,J197,Collectibles
G7345,1987,J227,Beauty
B312,26812.5,B0331,Furniture
J4917,918.5,E141,Computers & Accessories
E7079,540.5,I386,Collectibles
G5771,4579,J333,Apps & Games
I9688,3741,J337,Clothing & Accessories
B25665,1209.5,F604,Computers & Accessories
I8382,921.5,J865,Computers & Accessories
B30811,1060.5,I131,Garden & Outdoors
D9434,1146,C065,Clothing & Accessories
I6735,1062.5,J780,Garden & Outdoors
E4700,3715,E857,Garden & Outdoors
B12444,1080,B0344,Collectibles
B27108,2420.5,I645,Baby
G2738,240,I04,Beauty
C9933,2851,F888,Apps & Games
B30178,866.5,E253,Furniture
B02667,773.5,E414,Computers & Accessories
G6414,1532.5,F441,Baby
B17633,1177.5,D934,Baby
F342,1411,G91,Books
B11269,1149,G898,Baby
B2783,4835,J227,Beauty
B29722,2301,H987,Furniture
H698,1437,B0484,Electronics
G7653,9334,B417,Apps & Games
B7939,11104,B417,Apps & Games
B18326,1725,F582,Baby
E7759,1722,B185,Baby
D2299,956,D766,Furniture
F8038,3715,B0335,Baby
B23060,3971,C97,Computers & Accessories
B1124,1916.5,H885,Beauty
H5928,1699,I315,Collectibles
D6358,2108.5,G931,Apps & Games
J1804,700.5,B417,Clothing & Accessories
G279,1792,J008,Garden & Outdoors
I8771,1065.5,J788,Books
D6216,636.5,E628,Apps & Games
D874,4345.5,F276,Furniture
C2436,866.5,B713,Furniture
G2846,10704.5,B0304,Furniture
F6432,636.5,B008,Computers & Accessories
B06285,41888,G941,Collectibles
C5154,813,J472,Collectibles
B3078,1699,D844,Beauty
B01849,2016,D47,Furniture
E4304,892.5,H030,Garden & Outdoors
D253,1149,J173,Electronics
F0355,1120,G007,Computers & Accessories
E904,1149,H34,Baby
F0177,2013,H226,Computers & Accessories
I2914,4380,H599,Baby
B19185,2093.5,D644,Clothing & Accessories
B0835,685,D392,Baby
G2476,947.5,C111,Garden & Outdoors
C872,1149,C164,Furniture
B3600,1725,F739,Furniture
J2386,572.5,G633,Baby
F5854,7453,B0304,Computers & Accessories
J9362,1152,H738,Computers & Accessories
H3655,421,C636,Electronics
F4262,278,B207,Apps & Games
F3398,924,B0432,Beauty
B2912,2851,J035,Collectibles
B16802,770.5,E773,Furniture
J4491,990.5,F622,Computers & Accessories
G9994,3020.5,H203,Computers & Accessories
B28297,2056,G0,Beauty
B8288,1408,F86,Baby
J6034,2275,C357,Clothing & Accessories
G3621,2010,D784,Books
B09830,9278.5,F26,Garden & Outdoors
B00874,1080,C466,Electronics
J9666,3948,D184,Computers & Accessories
J3363,109,J723,Books
D8994,1347.5,E524,Computers & Accessories
E5144,1648,E967,Books
J9018,630.5,G608,Electronics
D4323,976,I797,Baby
G4848,1756.5,D755,Apps & Games
E7493,864,D683,Electronics
H8394,1146,E492,Beauty
B32530,1180.5,H923,Furniture
I1739,1278.5,E746,Furniture
B5257,2499,D793,Clothing & Accessories
D0570,1840,I817,Furniture
H3948,1392,H738,Garden & Outdoors
I629,764.5,D484,Electronics
I190,1566.5,I986,Electronics
G00,1008,G003,Garden & Outdoors
C0530,1600,C884,Computers & Accessories
C4476,65077,F403,Electronics
B05919,858,C313,Beauty
G7271,947.5,E110,Electronics
G0158,2692.5,B845,Books
B0368,10208,D561,Furniture
G9852,588.5,H982,Clothing & Accessories
B18974,354,I570,Books
B03858,4838,J074,Apps & Games
B16173,1436.5,F849,Computers & Accessories
C1039,7040,B740,Collectibles
B15303,2877,D236,Computers & Accessories
B7176,2848,G0,Garden & Outdoors
F4804,1437,C356,Baby
J793,1091.5,G640,Clothing & Accessories
B0552,1987,C31,Furniture
G7875,2013,J658,Books
B3513,1031,G0,Garden & Outdoors
F429,1149,B931,Beauty
D4948,636.5,C189,Electronics
C8830,4454,F276,Electronics
B29024,2473.5,B359,Apps & Games
H9266,476.5,J13,Computers & Accessories
B05762,3360,H363,Computers & Accessories
H9578,58924.5,D184,Furniture
B06064,2787,I774,Books
B7105,1766,C494,Apps & Games
I7940,1987,D517,Clothing & Accessories
B5961,979,H595,Garden & Outdoors
F6103,8611,B0269,Clothing & Accessories
J7456,1146,C305,Books
J2504,1440,B0121,Collectibles
B16375,3139,E057,Collectibles
C1233,1916.5,H881,Beauty
B13682,353.5,D744,Beauty
I8534,89049.5,F403,Electronics
B30176,1888,E66,Electronics
B06836,1005,C521,Apps & Games
B07828,1510,H881,Garden & Outdoors
B27907,1306.5,E097,Furniture
B22789,82832.5,F403,Clothing & Accessories
D2341,486.5,I956,Clothing & Accessories
I5609,1722,D165,Furniture
B7511,1981,J780,Collectibles
F7385,864,B0190,Books
D5823,5684.5,I932,Books
G1122,16288,B943,Beauty
E9214,5120,C331,Electronics
E4186,2320,J839,Furniture
D2561,7008,D057,Electronics
B10691,1123,D05,Garden & Outdoors
B9885,866.5,B0304,Computers & Accessories
D8153,950,I708,Computers & Accessories
I8572,20684.5,E282,Computers & Accessories
B0807,8208,E517,Computers & Accessories
B06732,457.5,J471,Clothing & Accessories
J3773,1056,E423,Electronics
J624,31968,F293,Clothing & Accessories
H3936,1059.5,E524,Garden & Outdoors
B13382,905.5,H768,Apps & Games
C9705,5043.5,D197,Baby
H9972,828.5,E865,Collectibles
B369,2848,B0239,Apps & Games
B1827,5155,J677,Collectibles
B00285,1062.5,G822,Computers & Accessories
B04155,892.5,C506,Garden & Outdoors
I8969,732.5,H948,Collectibles
B05037,1123,F933,Baby
B03615,928,H291,Beauty
I2453,828.5,I41,Beauty
J3501,1011,B500,Baby
E9166,2848,H392,Collectibles
J3769,1725,B20,Computers & Accessories
I8156,1607,E450,Furniture
C8612,633.5,H923,Baby
C8192,6048,H428,Garden & Outdoors
I5594,1987,J035,Electronics
E000,2192,I817,Collectibles
B01734,905.5,H768,Furniture
B8841,2073.5,F316,Electronics
G0983,835,G120,Computers & Accessories
G8841,2157,J86,Collectibles
B1343,2672.5,I305,Collectibles
F3800,1296,B252,Books
H464,332.5,E558,Computers & Accessories
I58,1996,C791,Baby
B05990,460.5,E144,Baby
E7072,313.5,B0152,Furniture
B28689,4584.5,C384,Computers & Accessories
B12646,435,H203,Apps & Games
H2795,688,B236,Electronics
I9202,2364.5,D050,Collectibles
I2459,1002,E253,Electronics
D6703,3312,F84,Computers & Accessories
E2442,5149,B919,Garden & Outdoors
B15571,956.5,F545,Garden & Outdoors
F0142,936,B588,Computers & Accessories
F7254,2672.5,B073,Baby
G4428,334,J977,Apps & Games
B16059,4220.5,E986,Baby
B5011,1497.5,E098,Baby
B09004,380,D001,Collectibles
B778,2298,I121,Beauty
G844,1149,C189,Apps & Games
H4469,1177.5,E771,Clothing & Accessories
J0687,432,J839,Beauty
D3122,1059.5,B392,Baby
B3001,964.5,G01,Furniture
E2917,1756.5,B0239,Baby
B32636,1722,C065,Baby
E8354,1872,I744,Beauty
B3921,2457,D528,Collectibles
G0270,3621,D207,Baby
B03225,2010,E832,Baby
B13064,1725,D181,Books
J2048,1084.5,B0544,Baby
J4808,1411,D844,Books
I1597,2301,B192,Books
B4990,944.5,D529,Electronics
H6633,976,E034,Beauty
D8587,10560,B0185,Apps & Games
D1513,1771,G822,Garden & Outdoors
B01309,1232,H387,Baby
B18416,540.5,B0152,Electronics
G4335,1996.5,J741,Clothing & Accessories
C0282,13478,D009,Electronics
J1026,2874,E017,Clothing & Accessories
B22564,1888,B529,Books
C0407,3008,E240,Clothing & Accessories
I3380,633.5,G978,Beauty
E1397,2546.5,D619,Beauty
I7606,1437,J629,Beauty
G5482,316.5,H233,Garden & Outdoors
G8228,604.5,B374,Clothing & Accessories
J6672,860.5,B236,Clothing & Accessories
B10870,1722,C51,Clothing & Accessories
B8374,704,B0271,Computers & Accessories
E9982,2505.5,D163,Clothing & Accessories
H4754,1005,I997,Computers & Accessories
I2498,1722,C699,Books
F1291,1276.5,B0573,Electronics
I6598,316.5,F362,Baby
E532,1152,H388,Clothing & Accessories
E0144,6500,I404,Books
D0745,380.5,H233,Garden & Outdoors
B08816,1722,E937,Garden & Outdoors
E2714,956.5,I570,Garden & Outdoors
C5774,1987,B0077,Baby
G0045,1909,B878,Collectibles
E973,2361.5,E458,Apps & Games
B6398,1148.5,E956,Baby
H0334,384,C85,Baby
H7926,1136,J041,Beauty
B07163,316.5,I744,Apps & Games
B4174,466.5,E850,Clothing & Accessories
B19109,1049.5,B231,Computers & Accessories
H8389,1209.5,J870,Collectibles
G2972,2589,D784,Garden & Outdoors
B25908,220.5,G673,Beauty
B24336,8480,D561,Beauty
B22411,2860.5,C931,Clothing & Accessories
B25604,1520,H532,Apps & Games
C0220,864,H933,Furniture
E7415,76326,F403,Electronics
G6861,950,I749,Electronics
H6920,1008,E609,Clothing & Accessories
F2996,8064,E051,Books
C640,953.5,B921,Books
G2555,4416,I374,Clothing & Accessories
C5949,1238,J181,Garden & Outdoors
H5979,3017.5,H170,Books
C228,866.5,G608,Beauty
E467,601.5,C720,Books
I1427,889.5,I663,Collectibles
D5254,1913.5,I069,Computers & Accessories
F9468,441.5,C31,Beauty
B5676,1146,G607,Books
H7507,23968,E755,Furniture
D7117,5019.5,J441,Electronics
E1384,569.5,D113,Apps & Games
I5035,9504,D593,Clothing & Accessories
G2510,1235.5,I867,Garden & Outdoors
B1484,4896,E998,Beauty
B0706,1593.5,B231,Books
J8545,3005,E924,Electronics
H7043,13772.5,F432,Beauty
J5208,2298,B380,Clothing & Accessories
B32646,2203,J780,Clothing & Accessories
B01069,1563.5,I606,Clothing & Accessories
E9045,441.5,H203,Electronics
E1537,1264,G661,Collectibles
B2963,1305.5,B0304,Clothing & Accessories
B21427,10080,I929,Books
G8474,1206.5,C375,Computers & Accessories
B06377,2013,E222,Computers & Accessories
B91,1272.5,C874,Clothing & Accessories
B0915,2208,C09,Furniture
B27672,1560,D528,Apps & Games
H2548,4809.5,B073,Books
F0581,633.5,G162,Electronics
B31494,1900.5,E998,Baby
B27445,2684,B5,Books
C5229,1411,B0025,Books
B17588,1276.5,E9,Apps & Games
J06,1296,C929,Beauty
F4332,4867,B0414,Electronics
E3076,1339,B049,Electronics
C6909,80,D248,Beauty
B2775,633.5,B982,Beauty
C8820,976,B588,Clothing & Accessories
J0699,1197,G936,Garden & Outdoors
B12025,640,E253,Clothing & Accessories
D5150,928,I274,Beauty
C0287,16,D062,Baby
H2600,2701,E068,Garden & Outdoors
E7757,947.5,G661,Computers & Accessories
C0753,796.5,E438,Electronics
C3684,964.5,G367,Garden & Outdoors
D5168,825.5,H315,Furniture
I9641,720,F622,Books
C5291,400,C111,Computers & Accessories
E8258,5155,C315,Baby
D056,316.5,D521,Baby
G0598,552.5,B610,Electronics
E6838,2589,H701,Books
B14800,9139,C099,Furniture
B07168,82832.5,F403,Clothing & Accessories
H3517,2234,D372,Baby
B06734,1209.5,D978,Computers & Accessories
D7226,2301,J61,Collectibles
B24703,835,C779,Beauty
G7309,1278.5,J432,Clothing & Accessories
C0728,316.5,B90,Baby
C5140,48384,G941,Apps & Games
B02963,620.5,E292,Collectibles
H0198,1117,E524,Computers & Accessories
J1733,1149,G077,Garden & Outdoors
B11658,979,E401,Garden & Outdoors
I810,3488,E76,Books
I3035,858,I495,Beauty
B2334,736,H753,Collectibles
B7050,813,H539,Books
E8674,224,B110,Books
G2493,4868.5,I765,Clothing & Accessories
F2414,2203,E998,Baby
E4361,5408,G597,Apps & Games
E0427,7328,G598,Furniture
C1579,230,F700,Apps & Games
J6617,1357,C111,Furniture
F5494,2301,J658,Books
J9970,1267,D142,Beauty
H6054,32000,F403,Garden & Outdoors
J2990,4480,J559,Baby
D3312,2556.5,B713,Apps & Games
B04404,928,B619,Books
I8529,316.5,E988,Furniture
B00836,4448,G822,Apps & Games
B28270,2528,D045,Clothing & Accessories
J2376,921.5,B892,Furniture
E7458,316.5,H57,Furniture
B27595,1091.5,J375,Clothing & Accessories
B7675,18958,J259,Baby
H4937,1308.5,B0411,Baby
B4423,288,C874,Collectibles
C9383,476.5,C466,Furniture
H7950,432,J865,Baby
B27323,1725,D236,Furniture
C5439,947.5,C774,Apps & Games
H8790,188.5,D327,Collectibles
C6096,480,C994,Baby
C1676,35168,D184,Garden & Outdoors
B30114,1699,J606,Books
H7856,1088,E017,Baby
B01728,316.5,D328,Baby
B23374,764.5,I834,Apps & Games
I4737,1437,I834,Beauty
E2000,1843,C906,Electronics
B19247,1065.5,B392,Beauty
B10295,348.5,C510,Baby
G9142,2874,C087,Baby
C5098,1152,E144,Furniture
G097,1296,H388,Beauty
B16329,872.5,C874,Clothing & Accessories
D6852,1385,C056,Apps & Games
B05324,1372.5,H233,Computers & Accessories
H1719,1564.5,I857,Apps & Games
C7047,4115.5,I368,Books
B18253,4029,I989,Clothing & Accessories
B24800,1578,J927,Books
D7748,192,E144,Clothing & Accessories
J3439,1008,B892,Beauty
B02767,1670,E794,Furniture
B23045,1699,D346,Clothing & Accessories
B18277,1725,C356,Collectibles
B0333,1072,C180,Apps & Games
G8079,13700,F403,Garden & Outdoors
C5110,1987,C494,Clothing & Accessories
E0487,12484.5,J259,Clothing & Accessories
B11739,1411,B552,Garden & Outdoors
B14857,185.5,D635,Beauty
B22657,672,I411,Computers & Accessories
I8365,316.5,J035,Apps & Games
G4535,1477,B0304,Beauty
E1509,889.5,F276,Clothing & Accessories
C4400,7904,C874,Apps & Games
E3239,1033.5,H249,Apps & Games
D5166,608,E422,Collectibles
E4425,403,F688,Collectibles
J5328,7648,G77,Computers & Accessories
E3165,2851,F544,Collectibles
B08457,952,D632,Collectibles
H4536,672,F276,Beauty
C2072,2688,E017,Computers & Accessories
J1309,160,D272,Collectibles
H0743,20128,J608,Collectibles
I4895,1152,E616,Garden & Outdoors
B19878,570,C150,Collectibles
E0846,800,E144,Apps & Games
B26895,6336,J641,Collectibles
B26476,1699,G417,Garden & Outdoors
C2085,483,I506,Computers & Accessories
D9830,508.5,C111,Electronics
B20397,1788.5,D062,Electronics
D3120,537.5,B0098,Garden & Outdoors
B0578,1031,D392,Baby
I1478,640,E144,Beauty
E710,412.5,I984,Books
I1293,1276.5,C164,Furniture
B28375,4608,F403,Apps & Games
B19337,1275.5,I986,Electronics
B01444,435,I481,Electronics
I3610,1048,F814,Garden & Outdoors
B14828,828.5,I506,Apps & Games
G2054,1049.5,G607,Electronics
J7872,24508,F403,Furniture
G7073,185,H233,Books
B04027,1267,J695,Baby
B14234,350,G648,Baby
B04344,400,H577,Computers & Accessories
D1414,1722,E47,Books
B08999,2016,D774,Computers & Accessories
B22691,1664,E90,Baby
C6951,540.5,C456,Collectibles
B03455,1276.5,G117,Apps & Games
F1582,3136,E757,Baby
B32773,138,E348,Furniture
B206,217.5,H448,Baby
B15980,857.5,D35,Furniture
G4093,1005,F622,Collectibles
B04371,30528,C953,Computers & Accessories
D2492,1408,J189,Beauty
B27659,1725,B192,Clothing & Accessories
B8927,3484.5,C376,Garden & Outdoors
H8120,928,C967,Computers & Accessories
F5965,457.5,H22,Garden & Outdoors
B06176,1437,H069,Garden & Outdoors
D3616,1566.5,I899,Garden & Outdoors
E637,400,B236,Apps & Games
I180,532.5,F739,Clothing & Accessories
B13826,459.5,I577,Garden & Outdoors
D2051,7984,B417,Garden & Outdoors
J8274,828.5,I834,Books
B26755,444.5,J469,Beauty
D312,2553.5,G939,Clothing & Accessories
B04407,412.5,B231,Baby
J7925,4291,B0400,Clothing & Accessories
F0504,1881.5,E422,Apps & Games
C2884,1600,F622,Books
H6302,416,E077,Electronics
I506,889.5,C826,Computers & Accessories
J2590,2624,G62,Computers & Accessories
J7770,1088,F226,Books
C1963,473.5,I069,Books
H4367,667.5,C134,Collectibles
G8987,800,B425,Books
E5937,1278.5,C111,Furniture
B27875,1149,F650,Electronics
B04794,825.5,D113,Electronics
B05988,1725,J658,Computers & Accessories
F4639,604.5,D071,Beauty
G6778,918.5,B0116,Garden & Outdoors
B09136,2233.5,G117,Electronics
B14783,11174,G878,Apps & Games
J4033,8832.5,D44,Electronics
F2722,156.5,H701,Beauty
H7197,380.5,B732,Baby
I2152,284.5,C150,Collectibles
B20453,803.5,J247,Books
H1514,284.5,B0152,Books
H1083,1005,I500,Computers & Accessories
D918,1051,G303,Computers & Accessories
B1524,672,B0019,Books
C1041,1146,F055,Electronics
B1185,400,J848,Clothing & Accessories
B2734,405,I834,Clothing & Accessories
G0914,947.5,G419,Electronics
C4920,1276.5,J341,Clothing & Accessories
G0440,2563,B192,Baby
D9087,4592,B672,Collectibles
B25806,220.5,C72,Computers & Accessories
B12227,396.5,C724,Garden & Outdoors
B23213,720,E449,Books
H6522,662.5,G936,Clothing & Accessories
E3975,1276.5,B0344,Computers & Accessories
F9631,354,I475,Collectibles
B32468,570,H467,Books
B06657,2013,E222,Collectibles
H9293,1065.5,C167,Baby
