id,event_timestamp,device_type,session_id,visitor_id,item_id,redirection_source
40758,11/15/2020 19:10,android,B002056,I8630,B04035,youtube
22811,11/15/2020 12:06,android,B002063,F2331,D2390,LinkedIn
9531,11/15/2020 7:12,android,B002074,E2603,B27900,facebook
9712,11/15/2020 7:17,android,B002074,E2603,B27900,LinkedIn
9723,11/15/2020 7:17,android,B002074,E2603,B27900,google
9800,11/15/2020 7:20,android,B002074,E2603,B27900,Google
9977,11/15/2020 7:25,android,B002074,E2603,B27900,FACEBOOK
9359,11/15/2020 7:07,android,B002074,E2603,D3165,facebook
9495,11/15/2020 7:11,android,B002074,E2603,D3165,YOUTUBE
31785,11/15/2020 15:51,android,B002256,B0015,H2711,google
23087,11/15/2020 12:14,android,B00234,E9710,H5494,GOOGLE
23174,11/15/2020 12:16,android,B00234,E9710,H5494,Google
23079,11/15/2020 12:14,android,B002344,B5848,C8621,Youtube
23604,11/15/2020 12:28,android,B002344,B5848,C8621,linkedin
25842,11/15/2020 13:32,android,B002369,C3408,E1484,linkedin
43277,11/15/2020 19:51,android,B00247,C7550,E0482,LinkedIn
20473,11/15/2020 11:14,android,B002475,G5536,B5503,google
20169,11/15/2020 11:08,android,B002475,G5536,G1390,LinkedIn
20212,11/15/2020 11:09,android,B002475,G5536,G1390,facebook
15978,11/15/2020 9:47,android,B002575,C3180,D2475,YOUTUBE
11932,11/15/2020 8:23,android,B002576,C3019,B0379,LinkedIn
10949,11/15/2020 7:56,android,B002591,J0260,B10662,linkedin
10926,11/15/2020 7:56,android,B002591,J0260,I2387,Google
10979,11/15/2020 7:57,android,B002591,J0260,I2387,YOUTUBE
25465,11/15/2020 13:22,android,B002651,F9000,B18262,Google
26889,11/15/2020 13:58,android,B002656,F7527,E1522,Youtube
27037,11/15/2020 14:01,android,B002656,F7527,E1522,linkedin
6789,11/15/2020 4:03,android,B00266,E9468,E9810,Youtube
6764,11/15/2020 4:01,android,B00266,E9468,F4868,linkedin
6762,11/15/2020 4:01,android,B00266,E9468,G0164,youtube
43825,11/15/2020 20:00,android,B002682,H8270,B13763,GOOGLE
43917,11/15/2020 20:02,android,B002682,H8270,C9726,Google
43846,11/15/2020 20:01,android,B002682,H8270,G9585,LinkedIn
25398,11/15/2020 13:20,android,B00269,C3252,H1978,google
36437,11/15/2020 17:41,android,B002697,B3132,B4991,Youtube
4695,11/15/2020 1:36,android,B002709,H8467,E8662,Youtube
24403,11/15/2020 12:52,android,B002807,I3951,D5121,google
24061,11/15/2020 12:41,android,B002807,I3951,F2911,YOUTUBE
24509,11/15/2020 12:54,android,B002807,I3951,G2131,GOOGLE
21533,11/15/2020 11:39,android,B002975,B314,D1169,Google
21634,11/15/2020 11:41,android,B002975,B314,H5607,Google
15130,11/15/2020 9:31,android,B003089,C9824,B8736,GOOGLE
15199,11/15/2020 9:32,android,B003089,C9824,B8736,Youtube
39061,11/15/2020 18:34,android,B003091,E0733,E436,Google
18989,11/15/2020 10:42,android,B003196,I1929,B12842,Google
1474,11/15/2020 0:22,android,B003230,G8099,B10374,linkedin
12425,11/15/2020 8:34,android,B003262,H6197,B22033,GOOGLE
12668,11/15/2020 8:41,android,B003262,H6197,B22033,FACEBOOK
44551,11/15/2020 20:15,android,B003377,G7428,F4793,GOOGLE
44599,11/15/2020 20:16,android,B003377,G7428,I6377,linkedin
40659,11/15/2020 19:08,android,B003399,E9665,B13763,linkedin
28461,11/15/2020 14:39,android,B003465,I1746,E6627,google
41211,11/15/2020 19:18,android,B003483,B3672,I7438,youtube
6747,11/15/2020 3:59,android,B00352,J1308,B7251,Google
6748,11/15/2020 3:59,android,B00352,J1308,D5448,google
6724,11/15/2020 3:57,android,B00352,J1308,E2287,google
6736,11/15/2020 3:58,android,B00352,J1308,E2287,LinkedIn
6737,11/15/2020 3:58,android,B00352,J1308,E2287,Google
6717,11/15/2020 3:57,android,B00352,J1308,G2775,Google
25343,11/15/2020 13:18,android,B003521,C8351,D1653,google
25421,11/15/2020 13:20,android,B003521,C8351,G6341,youtube
25592,11/15/2020 13:26,android,B003521,C8351,G6341,FACEBOOK
25603,11/15/2020 13:26,android,B003521,C8351,G6341,FACEBOOK
25431,11/15/2020 13:21,android,B003521,C8351,I0017,Youtube
25325,11/15/2020 13:17,android,B003521,C8351,I2940,Google
25390,11/15/2020 13:19,android,B003521,C8351,I2940,YOUTUBE
4925,11/15/2020 1:46,android,B003641,H8496,B20956,Youtube
4938,11/15/2020 1:47,android,B003641,H8496,B31259,Google
38701,11/15/2020 18:26,android,B003855,E8726,B27603,google
44421,11/15/2020 20:12,android,B003881,B1923,B16647,Google
11117,11/15/2020 8:00,android,B003910,E9814,C9989,youtube
11689,11/15/2020 8:15,android,B003910,E9814,C9989,linkedin
11692,11/15/2020 8:15,android,B003910,E9814,C9989,LinkedIn
39848,11/15/2020 18:51,android,B004021,F7815,F0045,GOOGLE
10675,11/15/2020 7:49,android,B004297,J0075,C4133,Google
10567,11/15/2020 7:45,android,B004297,J0075,D4669,facebook
26820,11/15/2020 13:56,android,B004397,H3482,B3552,youtube
45688,11/15/2020 20:36,android,B004426,E0699,B19030,facebook
45600,11/15/2020 20:34,android,B004426,E0699,G0507,Google
6169,11/15/2020 3:02,android,B004436,E1957,B11376,GOOGLE
7752,11/15/2020 5:44,android,B00445,E2611,I860,Google
38874,11/15/2020 18:30,android,B004525,C8141,B06866,linkedin
25632,11/15/2020 13:26,android,B004551,F4906,B25684,FACEBOOK
26471,11/15/2020 13:47,android,B004551,F4906,B25684,YOUTUBE
25535,11/15/2020 13:24,android,B004551,F4906,D4443,FACEBOOK
25556,11/15/2020 13:25,android,B004551,F4906,E2490,facebook
26462,11/15/2020 13:47,android,B004551,F4906,E2490,Google
26474,11/15/2020 13:47,android,B004551,F4906,E2490,Google
25554,11/15/2020 13:25,android,B004551,F4906,H6224,linkedin
44872,11/15/2020 20:22,android,B004575,I9087,B2069,linkedin
45016,11/15/2020 20:24,android,B00459,F5746,G5969,LinkedIn
20905,11/15/2020 11:25,android,B004597,I0662,B11376,google
21133,11/15/2020 11:30,android,B004597,I0662,B11376,linkedin
21142,11/15/2020 11:30,android,B004597,I0662,B11376,GOOGLE
22333,11/15/2020 11:56,android,B004597,I0662,B11376,youtube
22355,11/15/2020 11:57,android,B004597,I0662,B11376,GOOGLE
305,11/15/2020 0:04,android,B004608,G7493,B04882,GOOGLE
180,11/15/2020 0:02,android,B004608,G7493,B17617,facebook
706,11/15/2020 0:10,android,B004608,G7493,B339,youtube
45,11/15/2020 0:00,android,B004608,G7493,F5196,GOOGLE
174,11/15/2020 0:02,android,B004608,G7493,H8960,youtube
11621,11/15/2020 8:13,android,B00478,B8312,B5757,YOUTUBE
11541,11/15/2020 8:11,android,B00478,B8312,C8034,Google
11887,11/15/2020 8:21,android,B00478,B8312,I3926,Google
12876,11/15/2020 8:45,android,B00478,B8312,I3926,Google
11405,11/15/2020 8:08,android,B00478,B8312,J4141,GOOGLE
42349,11/15/2020 19:37,android,B004853,B1689,B13763,youtube
31572,11/15/2020 15:47,android,B004886,B4835,D7011,YOUTUBE
31633,11/15/2020 15:48,android,B004886,B4835,D7011,facebook
22696,11/15/2020 12:04,android,B004910,D2069,B13763,facebook
22761,11/15/2020 12:05,android,B004910,D2069,B18403,Youtube
22795,11/15/2020 12:06,android,B004910,D2069,C6913,FACEBOOK
22683,11/15/2020 12:03,android,B004910,D2069,E2344,Youtube
22224,11/15/2020 11:54,android,B004910,D2069,E6627,FACEBOOK
22646,11/15/2020 12:03,android,B004910,D2069,E6627,Google
22879,11/15/2020 12:08,android,B004910,D2069,F1352,youtube
38758,11/15/2020 18:28,android,B004928,G2976,E5537,LinkedIn
10896,11/15/2020 7:55,android,B005003,G4289,B04426,youtube
11554,11/15/2020 8:11,android,B005003,G4289,B06252,google
12224,11/15/2020 8:30,android,B005003,G4289,B3850,youtube
10683,11/15/2020 7:49,android,B005003,G4289,D2770,google
10823,11/15/2020 7:53,android,B005003,G4289,D2770,GOOGLE
11993,11/15/2020 8:24,android,B005003,G4289,D2770,YOUTUBE
12313,11/15/2020 8:32,android,B005003,G4289,D2770,facebook
12530,11/15/2020 8:37,android,B005003,G4289,D2770,facebook
12621,11/15/2020 8:39,android,B005003,G4289,D2770,LinkedIn
12770,11/15/2020 8:43,android,B005003,G4289,D2770,Google
12967,11/15/2020 8:47,android,B005003,G4289,D2770,GOOGLE
10775,11/15/2020 7:52,android,B005003,G4289,D8708,Google
12401,11/15/2020 8:34,android,B005003,G4289,D8708,facebook
10720,11/15/2020 7:50,android,B005003,G4289,E0192,Youtube
12057,11/15/2020 8:26,android,B005003,G4289,E2052,Youtube
10976,11/15/2020 7:57,android,B005003,G4289,F1723,GOOGLE
11670,11/15/2020 8:15,android,B005003,G4289,F1723,LinkedIn
12209,11/15/2020 8:30,android,B005003,G4289,F1723,youtube
12389,11/15/2020 8:34,android,B005003,G4289,F1723,google
12549,11/15/2020 8:38,android,B005003,G4289,F1723,Google
12926,11/15/2020 8:46,android,B005003,G4289,F1723,FACEBOOK
12854,11/15/2020 8:44,android,B005003,G4289,F2440,LinkedIn
10778,11/15/2020 7:52,android,B005003,G4289,G6677,LinkedIn
11026,11/15/2020 7:58,android,B005003,G4289,G6677,youtube
11966,11/15/2020 8:23,android,B005003,G4289,G6677,facebook
12765,11/15/2020 8:43,android,B005003,G4289,H9222,Youtube
10840,11/15/2020 7:54,android,B005003,G4289,J1860,linkedin
11422,11/15/2020 8:08,android,B005003,G4289,J5113,GOOGLE
11508,11/15/2020 8:10,android,B005003,G4289,J5113,GOOGLE
11710,11/15/2020 8:16,android,B005003,G4289,J5113,Youtube
11642,11/15/2020 8:14,android,B005060,B2412,F9365,linkedin
37714,11/15/2020 18:08,android,B005093,F8161,B10399,FACEBOOK
37781,11/15/2020 18:09,android,B005093,F8161,C3356,YOUTUBE
37843,11/15/2020 18:10,android,B005093,F8161,C3356,LinkedIn
37905,11/15/2020 18:11,android,B005093,F8161,F806,LinkedIn
37917,11/15/2020 18:11,android,B005093,F8161,H5317,google
37947,11/15/2020 18:12,android,B005093,F8161,H5317,Youtube
40398,11/15/2020 19:03,android,B005109,B4337,B30934,facebook
11659,11/15/2020 8:14,android,B005114,I7689,B5028,linkedin
11673,11/15/2020 8:15,android,B005114,I7689,B5028,Google
11730,11/15/2020 8:16,android,B005114,I7689,B5028,Google
11818,11/15/2020 8:19,android,B005114,I7689,I8223,google
20759,11/15/2020 11:21,android,B00513,G2543,J9981,facebook
48200,11/15/2020 21:10,android,B005174,D9146,F6201,GOOGLE
20748,11/15/2020 11:21,android,B005209,H0458,B05734,Youtube
20979,11/15/2020 11:27,android,B005209,H0458,B05734,youtube
19983,11/15/2020 11:04,android,B005209,H0458,B10374,google
20306,11/15/2020 11:11,android,B005209,H0458,B7197,linkedin
20882,11/15/2020 11:24,android,B005209,H0458,B7197,GOOGLE
20025,11/15/2020 11:05,android,B005209,H0458,D1962,Google
20956,11/15/2020 11:26,android,B005209,H0458,E1919,YOUTUBE
20278,11/15/2020 11:10,android,B005209,H0458,G9789,youtube
20711,11/15/2020 11:20,android,B005209,H0458,H1399,Youtube
20953,11/15/2020 11:26,android,B005209,H0458,H1399,linkedin
20842,11/15/2020 11:23,android,B005209,H0458,H7732,Google
29856,11/15/2020 15:11,android,B005286,H7176,J5561,youtube
30704,11/15/2020 15:31,android,B005315,G3028,B27651,youtube
30780,11/15/2020 15:32,android,B005315,G3028,E0405,Google
31054,11/15/2020 15:38,android,B005315,G3028,E0405,linkedin
30658,11/15/2020 15:30,android,B005315,G3028,E1338,Youtube
30765,11/15/2020 15:32,android,B005315,G3028,F6209,LinkedIn
31022,11/15/2020 15:37,android,B005315,G3028,F9608,google
14731,11/15/2020 9:22,android,B005410,E8214,B0379,Google
28410,11/15/2020 14:38,android,B005436,C6607,F4177,facebook
9485,11/15/2020 7:11,android,B005454,F5227,B06072,youtube
9150,11/15/2020 6:59,android,B005454,F5227,B1350,GOOGLE
9454,11/15/2020 7:10,android,B005454,F5227,B16981,FACEBOOK
9280,11/15/2020 7:04,android,B005454,F5227,G0023,google
9212,11/15/2020 7:01,android,B005454,F5227,H1865,Google
9545,11/15/2020 7:13,android,B005454,F5227,J0949,Google
7337,11/15/2020 5:05,android,B005520,I7378,I4704,google
40685,11/15/2020 19:09,android,B005602,B3438,F1227,GOOGLE
13687,11/15/2020 9:03,android,B005607,I3734,B0379,linkedin
15189,11/15/2020 9:32,android,B005607,I3734,B0379,linkedin
15318,11/15/2020 9:34,android,B005607,I3734,B0379,YOUTUBE
15152,11/15/2020 9:31,android,B005607,I3734,I9373,google
15294,11/15/2020 9:34,android,B005607,I3734,I9373,google
15409,11/15/2020 9:36,android,B005607,I3734,I9373,youtube
15411,11/15/2020 9:36,android,B005607,I3734,I9373,google
15425,11/15/2020 9:36,android,B005607,I3734,I9373,FACEBOOK
15527,11/15/2020 9:38,android,B005607,I3734,I9373,GOOGLE
48532,11/15/2020 21:15,android,B005674,E2164,C4455,Youtube
14322,11/15/2020 9:14,android,B005759,H1135,B0379,facebook
14686,11/15/2020 9:21,android,B005759,H1135,I9373,YOUTUBE
5037,11/15/2020 1:51,android,B005809,C1696,B10969,google
5158,11/15/2020 1:56,android,B005809,C1696,B10969,youtube
5241,11/15/2020 2:00,android,B005809,C1696,B10969,linkedin
5299,11/15/2020 2:02,android,B005809,C1696,B18652,facebook
5201,11/15/2020 1:58,android,B005809,C1696,B22141,facebook
22695,11/15/2020 12:04,android,B005867,C3985,B22875,LinkedIn
22073,11/15/2020 11:50,android,B005867,C3985,D3633,google
22034,11/15/2020 11:49,android,B005867,C3985,I4704,LinkedIn
22738,11/15/2020 12:05,android,B005867,C3985,I4704,GOOGLE
5468,11/15/2020 2:11,android,B005957,G9686,B28663,LinkedIn
5430,11/15/2020 2:09,android,B005957,G9686,D0547,Google
5437,11/15/2020 2:10,android,B005957,G9686,D0547,GOOGLE
5236,11/15/2020 1:59,android,B005957,G9686,F9412,YOUTUBE
5251,11/15/2020 2:00,android,B005957,G9686,H5857,FACEBOOK
5317,11/15/2020 2:03,android,B005957,G9686,I5405,LinkedIn
5133,11/15/2020 1:55,android,B005957,G9686,J6832,GOOGLE
43459,11/15/2020 19:54,android,B005985,J1596,B0475,facebook
43072,11/15/2020 19:47,android,B005985,J1596,B13763,facebook
42000,11/15/2020 19:32,android,B005985,J1596,C8034,facebook
43400,11/15/2020 19:53,android,B005985,J1596,E7449,facebook
43235,11/15/2020 19:50,android,B005985,J1596,H2955,google
43613,11/15/2020 19:57,android,B005985,J1596,H4081,GOOGLE
42065,11/15/2020 19:33,android,B005985,J1596,H8603,YOUTUBE
42279,11/15/2020 19:36,android,B005985,J1596,H8603,facebook
42308,11/15/2020 19:36,android,B005985,J1596,I7438,LinkedIn
43578,11/15/2020 19:56,android,B005985,J1596,J4171,GOOGLE
44113,11/15/2020 20:06,android,B006030,F5704,B13763,GOOGLE
36273,11/15/2020 17:37,android,B006065,E1938,B25101,facebook
36258,11/15/2020 17:37,android,B006065,E1938,G8696,GOOGLE
36263,11/15/2020 17:37,android,B006065,E1938,G8696,GOOGLE
36352,11/15/2020 17:39,android,B006065,E1938,G8696,facebook
36387,11/15/2020 17:40,android,B006065,E1938,G8696,LinkedIn
15678,11/15/2020 9:42,android,B006066,F4150,C9726,Google
18125,11/15/2020 10:24,android,B006086,E7579,J1850,YOUTUBE
108,11/15/2020 0:01,android,B006135,C3832,C0595,LinkedIn
411,11/15/2020 0:05,android,B006135,C3832,C0595,YOUTUBE
27300,11/15/2020 14:08,android,B006224,E7430,F9680,linkedin
31765,11/15/2020 15:51,android,B006280,C8137,H9586,youtube
31991,11/15/2020 15:56,android,B006280,C8137,H9586,google
29546,11/15/2020 15:05,android,B006288,G4655,B03394,youtube
29617,11/15/2020 15:06,android,B006288,G4655,B03394,Google
29619,11/15/2020 15:06,android,B006288,G4655,B03394,FACEBOOK
29385,11/15/2020 15:01,android,B006288,G4655,B20814,YOUTUBE
29435,11/15/2020 15:02,android,B006288,G4655,B20814,GOOGLE
41786,11/15/2020 19:28,android,B006306,F3621,B13763,YOUTUBE
26101,11/15/2020 13:39,android,B00640,E2239,B14879,Google
26084,11/15/2020 13:38,android,B00640,E2239,H522,YOUTUBE
37846,11/15/2020 18:10,android,B006449,H3746,B13763,Youtube
37941,11/15/2020 18:12,android,B006449,H3746,C6012,YOUTUBE
37832,11/15/2020 18:10,android,B006449,H3746,F9495,Google
37838,11/15/2020 18:10,android,B006449,H3746,F9495,YOUTUBE
33525,11/15/2020 16:32,android,B006465,F9501,B1715,LinkedIn
33834,11/15/2020 16:39,android,B006465,F9501,B4752,LinkedIn
33849,11/15/2020 16:39,android,B006465,F9501,H3510,Youtube
9364,11/15/2020 7:07,android,B006468,F6270,C2436,YOUTUBE
9232,11/15/2020 7:02,android,B006468,F6270,G4683,FACEBOOK
16917,11/15/2020 10:05,android,B006491,C4958,F9365,youtube
17133,11/15/2020 10:07,android,B006491,C4958,F9365,Youtube
16891,11/15/2020 10:04,android,B006491,C4958,I8429,google
38810,11/15/2020 18:29,android,B006494,C2908,D5637,YOUTUBE
38893,11/15/2020 18:30,android,B006494,C2908,J7618,google
19510,11/15/2020 10:54,android,B006509,B3834,B17580,GOOGLE
41794,11/15/2020 19:28,android,B006642,G8412,B13763,google
24888,11/15/2020 13:05,android,B006796,F595,B01829,Google
24882,11/15/2020 13:04,android,B006796,F595,H7933,youtube
44347,11/15/2020 20:11,android,B006929,H3068,B13763,YOUTUBE
24856,11/15/2020 13:04,android,B006963,G824,I9577,google
24992,11/15/2020 13:08,android,B006963,G824,I9577,Youtube
25366,11/15/2020 13:19,android,B006963,G824,I9577,facebook
31870,11/15/2020 15:53,android,B006990,E223,B30934,YOUTUBE
32042,11/15/2020 15:56,android,B006990,E223,I0429,google
10190,11/15/2020 7:32,android,B00703,I7822,C0679,linkedin
46964,11/15/2020 20:54,android,B007068,F0926,F089,Google
32604,11/15/2020 16:08,android,B007131,F8862,I4704,LinkedIn
32616,11/15/2020 16:08,android,B007131,F8862,I4704,GOOGLE
32626,11/15/2020 16:08,android,B007131,F8862,I4704,FACEBOOK
8082,11/15/2020 6:12,android,B007266,C2416,B06200,youtube
770,11/15/2020 0:11,android,B007268,I0968,D0048,FACEBOOK
817,11/15/2020 0:12,android,B007268,I0968,D0048,GOOGLE
1327,11/15/2020 0:20,android,B007268,I0968,D0048,LinkedIn
1231,11/15/2020 0:18,android,B007268,I0968,D0152,YOUTUBE
11,11/15/2020 0:00,android,B00737,G8784,J1397,facebook
338,11/15/2020 0:04,android,B00737,G8784,J1397,Youtube
43840,11/15/2020 20:01,android,B007413,F5490,C1137,google
43804,11/15/2020 20:00,android,B007413,F5490,C9726,youtube
43724,11/15/2020 19:59,android,B007413,F5490,E0001,FACEBOOK
30786,11/15/2020 15:32,android,B007485,F8976,D5963,Google
6350,11/15/2020 3:16,android,B00751,D5873,H1877,google
6325,11/15/2020 3:14,android,B00751,D5873,I8013,google
40976,11/15/2020 19:14,android,B007564,C8003,B13763,FACEBOOK
43797,11/15/2020 20:00,android,B007593,H8392,G3471,GOOGLE
30377,11/15/2020 15:24,android,B007617,J2186,J1621,google
30426,11/15/2020 15:25,android,B007617,J2186,J1621,Youtube
11471,11/15/2020 8:09,android,B007629,I7337,B11376,FACEBOOK
11640,11/15/2020 8:14,android,B007629,I7337,B11376,youtube
11703,11/15/2020 8:16,android,B007629,I7337,B31326,GOOGLE
11648,11/15/2020 8:14,android,B007629,I7337,B7268,google
11395,11/15/2020 8:07,android,B007629,I7337,D744,google
11456,11/15/2020 8:09,android,B007629,I7337,D744,linkedin
11478,11/15/2020 8:10,android,B007629,I7337,F9808,google
12584,11/15/2020 8:38,android,B007654,C1034,B03394,YOUTUBE
12751,11/15/2020 8:42,android,B007654,C1034,B03394,youtube
13447,11/15/2020 8:58,android,B007654,C1034,B03394,LinkedIn
44851,11/15/2020 20:21,android,B00770,I1895,B13763,Youtube
1434,11/15/2020 0:22,android,B00785,E6089,B22333,Youtube
1438,11/15/2020 0:22,android,B00785,E6089,B25856,youtube
1079,11/15/2020 0:16,android,B00785,E6089,B26483,FACEBOOK
1916,11/15/2020 0:29,android,B00785,E6089,B6770,google
1397,11/15/2020 0:21,android,B00785,E6089,D295,youtube
2465,11/15/2020 0:37,android,B00785,E6089,D8046,youtube
1771,11/15/2020 0:26,android,B00785,E6089,F5880,facebook
1819,11/15/2020 0:27,android,B00785,E6089,H6156,YOUTUBE
1890,11/15/2020 0:28,android,B00785,E6089,H9328,YOUTUBE
682,11/15/2020 0:10,android,B00785,E6089,I399,FACEBOOK
183,11/15/2020 0:02,android,B00785,E6089,I6831,linkedin
526,11/15/2020 0:07,android,B00785,E6089,I6831,Google
11507,11/15/2020 8:10,android,B007879,H8061,G1729,Google
11353,11/15/2020 8:06,android,B007879,H8061,H1139,facebook
11399,11/15/2020 8:07,android,B007879,H8061,H1139,Youtube
11412,11/15/2020 8:08,android,B007879,H8061,H6156,youtube
11534,11/15/2020 8:11,android,B007879,H8061,H6156,FACEBOOK
11575,11/15/2020 8:12,android,B007879,H8061,H6156,youtube
